,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
231,Marcus Morris,2011,4.0,81.0,230,14,33.0,0,0,"{u'solid': 6, u'good': 12, u'offensive': 5}"
232,Kawhi Leonard,2011,3.0,79.0,225,15,32.0,2,0,"{u'able': 5, u'impressive': 5, u'physical': 6}"
233,Nikola Vucevic,2011,4.5,84.0,260,16,25.0,0,0,"{u'big': 5, u'good': 4, u'european': 5}"
234,Iman Shumpert,2011,1.5,78.0,220,17,42.0,2,1,"{u'great': 4, u'good': 6, u'nice': 5}"
235,Chris Singleton,2011,3.0,81.0,230,18,30.0,0,0,"{u'little': 6, u'best': 7, u'defensive': 9}"
236,Tobias Harris,2011,3.5,80.0,225,19,37.5,2,0,"{u'tall': 1, u'old': 1, u'spectacular': 1}"
237,Donatas Motiejunas,2011,4.5,84.0,215,20,,0,2,"{u'big': 21, u'great': 13, u'offensive': 13}"
238,Nolan Smith,2011,1.5,76.0,190,21,34.0,1,1,"{u'great': 8, u'good': 4, u'nice': 7}"
239,Kenneth Faried,2011,4.0,80.0,225,22,35.0,0,0,"{u'big': 8, u'good': 4, u'offensive': 5}"
240,Nikola Mirotic,2011,4.0,82.0,210,23,,0,2,"{u'big': 7, u'impressive': 6, u'best': 7}"
241,Marshon Brooks,2011,2.0,77.0,195,25,38.5,2,1,"{u'good': 2, u'mid': 2, u'low': 2}"
242,Jordan Hamilton,2011,3.0,80.0,230,26,32.0,2,0,"{u'solid': 6, u'great': 7, u'good': 7}"
243,Norris Cole,2011,1.0,74.0,175,28,38.5,2,0,"{u'consistent': 2, u'good': 7, u'half': 3}"
244,Cory Joseph,2011,1.5,75.0,185,29,35.0,1,1,"{u'better': 3, u'good': 6, u'nice': 3}"
245,Jimmy Butler,2011,3.0,80.0,220,30,39.0,2,0,"{u'good': 6, u'offensive': 5, u'excellent': 5}"
246,Bojan Bogdanovic,2011,2.5,79.0,216,31,,2,2,"{u'decent': 5, u'good': 13, u'nice': 7}"
247,Justin Harper,2011,4.0,81.0,230,32,33.0,2,1,{u'unheralded': 1}
248,Kyle Singler,2011,3.5,81.0,225,33,30.0,0,0,"{u'good': 20, u'mid': 11, u'nice': 17}"
249,Shelvin Mack,2011,1.0,74.0,210,34,39.0,1,1,"{u'good': 3, u'able': 3, u'mid': 2}"
250,Tyler Honeycutt,2011,3.0,80.0,190,35,37.0,2,0,"{u'great': 4, u'able': 3, u'excellent': 6}"
251,Jordan Williams,2011,5.0,81.0,250,36,30.5,0,0,"{u'average': 6, u'offensive': 4, u'defensive': 3}"
252,Trey Thompkins,2011,4.0,82.0,240,37,30.5,0,0,"{u'big': 12, u'great': 11, u'good': 13}"
253,Chandler Parsons,2011,3.0,82.0,220,38,31.5,2,0,"{u'solid': 8, u'small': 6, u'good': 10}"
254,Jeremy Tyler,2011,5.0,83.0,260,39,33.5,0,2,"{u'good': 5, u'old': 7, u'european': 6}"
255,Jon Leuer,2011,4.0,83.0,225,40,36.5,0,0,"{u'great': 5, u'good': 6, u'long': 4}"
256,Darius Morris,2011,1.0,77.0,190,41,32.0,2,0,{u'past': 1}
257,Davis Bertans,2011,3.0,82.0,210,42,,2,1,"{u'small': 3, u'impressive': 3, u'young': 2}"
258,Malcolm Lee,2011,2.0,77.0,200,43,35.5,1,1,"{u'good': 7, u'potential': 5, u'best': 4}"
259,Charles Jenkins,2011,1.5,75.0,220,44,34.0,2,2,"{u'late': 1, u'viral': 1, u'appropriate': 1}"
260,Andrew Goudelock,2011,1.0,75.0,200,46,37.0,1,1,"{u'sound': 1, u'solid': 1, u'clear': 1}"
261,Travis Leslie,2011,3.0,76.0,205,47,40.5,2,0,"{u'great': 3, u'best': 3, u'physical': 3}"
262,Keith Benson,2011,4.5,83.0,220,48,36.0,0,0,"{u'big': 6, u'good': 7, u'able': 6}"
263,Josh Selby,2011,2.0,75.0,195,49,42.0,1,1,"{u'great': 6, u'good': 4, u'tough': 3}"
264,Lavoy Allen,2011,4.0,81.0,225,50,,0,0,"{u'big': 13, u'good': 16, u'offensive': 10}"
265,Vernon Macklin,2011,5.0,81.0,245,52,,0,0,"{u'big': 5, u'good': 5, u'offensive': 5}"
266,DeAndre Liggins,2011,2.5,78.0,205,53,31.0,1,1,"{u'big': 5, u'great': 5, u'offensive': 5}"
267,Milan Macvan,2011,4.5,81.0,265,54,,0,2,"{u'big': 14, u'physical': 9, u'nice': 10}"
268,Ater Majok,2011,4.5,82.0,225,58,,2,0,"{u'past': 2, u'interesting': 2, u'little': 2}"
269,Adam Hanga,2011,2.5,79.0,200,59,34.5,2,0,"{u'great': 3, u'good': 7, u'nice': 5}"
270,Isaiah Thomas,2011,1.0,70.0,190,60,40.0,1,0,"{u'tremendous': 2, u'able': 4, u'outstanding': 2}"
271,John Wall,2010,1.0,76.0,195,1,39.0,1,1,"{u'better': 7, u'big': 5, u'eligible': 4}"
272,Evan Turner,2010,2.5,79.0,205,2,34.5,2,0,"{u'great': 14, u'good': 23, u'nice': 10}"
273,Derrick Favors,2010,4.5,82.0,246,3,35.5,0,0,"{u'terrific': 8, u'big': 10, u'great': 8}"
274,Wesley Johnson,2010,3.5,79.0,195,4,37.0,2,0,"{u'better': 7, u'small': 7, u'able': 7}"
275,DeMarcus Cousins,2010,5.0,83.0,270,5,27.5,0,0,"{u'big': 16, u'good': 8, u'impressive': 7}"
276,Ekpe Udoh,2010,4.5,82.0,240,6,33.5,0,0,"{u'good': 12, u'offensive': 10, u'impressive': 8}"
277,Greg Monroe,2010,4.5,83.0,240,7,29.0,0,0,"{u'big': 22, u'good': 16, u'excellent': 14}"
278,Al-Farouq Aminu,2010,3.5,80.0,210,8,33.5,0,0,"{u'small': 15, u'great': 19, u'outstanding': 12}"
279,Gordon Hayward,2010,3.0,80.0,200,9,34.5,2,0,"{u'great': 5, u'good': 10, u'open': 4}"
280,Paul George,2010,3.0,81.0,215,10,,2,0,"{u'small': 7, u'solid': 6, u'good': 5}"
281,Cole Aldrich,2010,5.0,83.0,250,11,28.0,0,0,"{u'big': 21, u'good': 14, u'excellent': 13}"
282,Xavier Henry,2010,3.0,78.0,210,12,36.5,2,0,"{u'solid': 6, u'great': 9, u'good': 17}"
283,Ed Davis,2010,4.0,81.0,215,13,36.0,0,0,"{u'big': 8, u'good': 10, u'able': 9}"
284,Patrick Patterson,2010,4.0,80.0,223,14,33.5,0,0,"{u'big': 10, u'good': 9, u'offensive': 10}"
285,Larry Sanders,2010,4.5,81.0,205,15,28.0,0,0,"{u'big': 11, u'able': 8, u'long': 11}"
286,Luke Babbitt,2010,3.0,79.0,215,16,37.5,0,0,"{u'great': 6, u'good': 9, u'physical': 6}"
287,Kevin Seraphin,2010,5.0,81.0,258,17,,0,2,"{u'big': 8, u'french': 8, u'interesting': 6}"
288,Eric Bledsoe,2010,1.5,73.0,190,18,,1,1,"{u'open': 5, u'able': 5, u'excellent': 5}"
289,Avery Bradley,2010,2.0,75.0,180,19,37.5,1,1,"{u'great': 13, u'good': 13, u'able': 12}"
290,James Anderson,2010,2.5,78.0,195,20,35.5,2,1,"{u'big': 8, u'good': 11, u'offensive': 12}"
291,Craig Brackins,2010,4.5,82.0,230,21,35.0,0,0,"{u'big': 18, u'good': 8, u'able': 9}"
292,Elliot Williams,2010,2.0,76.0,175,22,,2,0,"{u'good': 7, u'right': 5, u'physical': 7}"
293,Trevor Booker,2010,4.0,79.0,215,23,36.0,0,0,"{u'big': 7, u'good': 10, u'offensive': 8}"
294,Damion James,2010,3.5,79.0,225,24,33.0,0,0,"{u'small': 10, u'great': 14, u'good': 15}"
295,Dominique Jones,2010,2.0,76.0,205,25,32.5,1,1,"{u'average': 7, u'good': 15, u'defensive': 7}"
296,Quincy Pondexter,2010,3.0,78.0,220,26,,0,0,"{u'good': 23, u'offensive': 17, u'nice': 10}"
297,Jordan Crawford,2010,2.0,76.0,195,27,34.5,2,1,"{u'quick': 4, u'average': 5, u'good': 4}"
298,Greivis Vasquez,2010,1.5,77.0,195,28,,1,1,"{u'great': 7, u'good': 8, u'outstanding': 8}"
299,Daniel Orton,2010,5.0,82.0,260,29,30.5,0,0,"{u'solid': 5, u'offensive': 4, u'able': 4}"
300,Lazar Hayward,2010,3.0,78.0,225,30,36.0,2,0,"{u'open': 3, u'good': 4, u'right': 3}"
301,Tibor Pleiss,2010,5.0,84.0,220,31,,0,2,"{u'decent': 3, u'able': 3, u'nice': 5}"
302,Dexter Pittman,2010,5.0,82.0,310,32,,0,0,"{u'raw': 6, u'great': 5, u'good': 10}"
303,Hassan Whiteside,2010,5.0,84.0,235,33,31.5,0,0,"{u'able': 8, u'good': 9, u'offensive': 9}"
304,Armon Johnson,2010,1.5,75.0,195,34,38.5,1,1,"{u'good': 13, u'nice': 6, u'excellent': 6}"
305,Nemanja Bjelica,2010,1.5,82.0,210,35,,2,2,"{u'solid': 3, u'intriguing': 2, u'nice': 3}"
306,Terrico White,2010,2.0,77.0,211,36,40.0,1,1,"{u'terrific': 8, u'great': 6, u'physical': 7}"
307,Darington Hobson,2010,3.0,79.0,205,37,34.0,2,0,"{u'great': 4, u'good': 5, u'effective': 5}"
308,Andy Rautins,2010,2.0,76.0,195,38,30.5,2,1,"{u'capable': 3, u'physical': 4, u'excellent': 5}"
309,Landry Fields,2010,3.0,79.0,210,39,,2,0,"{u'little': 4, u'good': 7, u'senior': 4}"
310,Lance Stephenson,2010,2.0,77.0,200,40,33.0,2,1,"{u'good': 13, u'offensive': 8, u'strong': 9}"
311,Jarvis Varnado,2010,4.0,81.0,210,41,32.5,0,0,"{u'big': 11, u'good': 12, u'offensive': 11}"
312,Devin Ebanks,2010,3.5,80.0,205,43,32.0,0,0,"{u'good': 10, u'able': 5, u'nice': 8}"
313,Jerome Jordan,2010,5.0,84.0,235,44,,0,2,"{u'good': 10, u'offensive': 11, u'physical': 14}"
314,Paulao Prestes,2010,5.0,82.0,265,45,,0,2,"{u'strong': 5, u'low': 5, u'physical': 4}"
315,Gani Lawal,2010,4.5,80.0,233,46,31.5,0,0,"{u'offensive': 7, u'able': 8, u'defensive': 8}"
316,Tiny Gallon,2010,4.0,80.0,320,47,28.5,0,2,"{u'big': 7, u'good': 11, u'offensive': 9}"
317,Latavious Williams,2010,4.0,80.0,190,48,,2,0,"{u'solid': 3, u'second': 3, u'good': 3}"
318,Ryan Richards,2010,4.5,82.0,225,49,28.5,0,2,"{u'old': 6, u'low': 4, u'young': 3}"
319,Solomon Alabi,2010,5.0,85.0,251,50,26.0,0,0,"{u'good': 17, u'defensive': 10, u'nice': 10}"
320,Magnum Rolle,2010,4.0,82.0,200,51,,2,0,"{u'quick': 3, u'decent': 3, u'physical': 4}"
321,Luke Harangody,2010,4.0,80.0,251,52,28.5,0,0,"{u'big': 7, u'able': 7, u'best': 6}"
322,Pape Sy,2010,1.5,0.0,&nbsp,53,,2,0,"{u'outstanding': 2, u'tough': 2, u'difficult': 4}"
323,Willie Warren,2010,2.0,76.0,200,54,31.5,1,1,"{u'excellent': 6, u'good': 12, u'outstanding': 7}"
324,Jeremy Evans,2010,4.0,81.0,190,55,,2,2,"{u'great': 2, u'right': 2, u'offensive': 2}"
325,Derrick Caracter,2010,4.5,81.0,265,58,30.5,0,2,"{u'quick': 6, u'big': 6, u'great': 12}"
326,Stanley Robinson,2010,3.5,81.0,225,59,37.5,0,0,"{u'small': 5, u'good': 17, u'outstanding': 8}"
327,Dwayne Collins,2010,4.5,80.0,232,60,,0,0,"{u'big': 6, u'average': 6, u'offensive': 7}"
328,Blake Griffin,2009,4.0,82.0,251,1,35.5,0,0,"{u'great': 9, u'excellent': 8, u'nice': 14}"
329,Hasheem Thabeet,2009,5.0,87.0,265,2,34.0,0,0,"{u'poor': 11, u'big': 22, u'offensive': 25}"
330,James Harden,2009,2.0,77.0,218,3,37.0,2,1,"{u'great': 17, u'good': 18, u'excellent': 12}"
331,Tyreke Evans,2009,1.5,77.0,195,4,34.0,1,1,"{u'great': 12, u'good': 10, u'able': 13}"
332,Ricky Rubio,2009,1.0,76.0,180,5,,1,2,"{u'terrific': 18, u'big': 19, u'good': 18}"
333,Jonny Flynn,2009,1.0,72.0,172,6,40.0,1,1,"{u'good': 19, u'able': 10, u'best': 8}"
334,Stephen Curry,2009,1.5,75.0,185,7,35.5,1,1,"{u'little': 9, u'good': 11, u'great': 7}"
335,Jordan Hill,2009,4.0,82.0,235,8,35.0,0,2,"{u'big': 15, u'good': 18, u'able': 8}"
336,Demar DeRozan,2009,2.5,79.0,207,9,38.5,2,1,"{u'better': 6, u'great': 13, u'good': 15}"
337,Brandon Jennings,2009,1.0,73.0,170,10,,1,1,"{u'little': 15, u'good': 18, u'bad': 9}"
338,Terrence Williams,2009,2.5,78.0,220,11,37.0,2,1,"{u'better': 12, u'great': 16, u'good': 9}"
339,Gerald Henderson,2009,2.0,77.0,215,12,35.0,2,1,"{u'great': 10, u'good': 7, u'nice': 8}"
340,Tyler Hansbrough,2009,4.0,81.0,230,13,34.0,0,2,"{u'big': 15, u'great': 13, u'good': 20}"
341,Earl Clark,2009,3.5,81.0,220,14,33.0,0,0,"{u'small': 10, u'big': 18, u'good': 21}"
342,Austin Daye,2009,3.5,82.0,190,15,28.0,0,0,"{u'good': 11, u'offensive': 11, u'strong': 10}"
343,James Johnson,2009,3.5,80.0,235,16,35.0,0,0,"{u'great': 7, u'good': 9, u'nice': 9}"
344,Jrue Holiday,2009,1.5,75.0,185,17,34.0,1,1,"{u'second': 13, u'good': 13, u'great': 13}"
345,Ty Lawson,2009,1.0,72.0,195,18,36.5,1,1,"{u'good': 33, u'open': 16, u'best': 23}"
346,Jeff Teague,2009,1.5,74.0,180,19,36.5,1,1,"{u'average': 5, u'good': 8, u'nice': 6}"
347,Eric Maynor,2009,1.0,74.0,175,20,31.5,1,1,"{u'big': 12, u'great': 11, u'good': 16}"
348,Darren Collison,2009,1.0,73.0,165,21,33.5,1,1,"{u'great': 17, u'good': 17, u'best': 12}"
349,Victor Claver,2009,4.0,82.0,218,22,,0,2,"{u'excellent': 13, u'good': 16, u'nice': 16}"
350,Omri Casspi,2009,3.5,80.0,220,23,32.5,0,2,"{u'small': 15, u'good': 23, u'nice': 24}"
351,Rodrigue Beaubois,2009,1.0,74.0,182,25,39.0,2,1,"{u'solid': 4, u'right': 2, u'nice': 4}"
352,Taj Gibson,2009,4.0,81.0,210,26,30.0,0,2,"{u'big': 9, u'old': 5, u'offensive': 9}"
353,DeMarre Carroll,2009,3.5,80.0,225,27,,0,0,"{u'good': 5, u'mid': 5, u'collegiate': 5}"
354,Wayne Ellington,2009,2.0,77.0,190,28,38.0,2,1,"{u'great': 11, u'good': 14, u'impressive': 9}"
355,Toney Douglas,2009,1.5,73.0,196,29,32.5,1,0,"{u'good': 5, u'defensive': 3, u'best': 4}"
356,Christian Eyenga,2009,2.5,77.0,210,30,,2,2,"{u'decent': 2, u'big': 2, u'nice': 2}"
357,Jeff Pendergraph,2009,4.5,81.0,230,31,35.0,0,0,"{u'solid': 12, u'good': 17, u'nice': 11}"
358,Jermaine Taylor,2009,2.0,76.0,210,32,37.5,2,0,"{u'able': 6, u'impressive': 7, u'excellent': 7}"
359,Dante Cunningham,2009,4.0,80.0,230,33,35.0,0,0,"{u'average': 3, u'good': 4, u'likely': 2}"
360,Sergio Llull,2009,1.5,75.0,176,34,,1,1,"{u'strong': 4, u'nice': 4, u'excellent': 6}"
361,DaJuan Summers,2009,3.5,80.0,241,35,34.5,2,0,"{u'small': 6, u'big': 5, u'good': 12}"
362,Sam Young,2009,3.5,78.0,210,36,33.0,0,0,"{u'good': 18, u'offensive': 15, u'defensive': 9}"
363,DeJuan Blair,2009,4.5,79.0,265,37,33.0,0,0,"{u'better': 8, u'big': 8, u'great': 10}"
364,Jon Brockman,2009,4.0,79.0,260,38,,0,0,"{u'big': 12, u'great': 10, u'good': 11}"
365,Jonas Jerebko,2009,4.0,81.0,210,39,,2,2,"{u'small': 8, u'swedish': 5, u'excellent': 5}"
366,Derrick Brown,2009,4.0,79.0,225,40,35.5,0,0,"{u'offensive': 7, u'slow': 6, u'able': 8}"
367,Jodie Meeks,2009,2.0,76.0,208,41,37.0,2,0,"{u'elite': 3, u'open': 3, u'nice': 4}"
368,Patrick Beverley,2009,1.5,73.0,172,42,37.0,1,1,"{u'good': 4, u'open': 4, u'nice': 5}"
369,Marcus Thornton,2009,2.0,76.0,198,43,33.0,2,1,"{u'second': 5, u'good': 6, u'offensive': 6}"
370,Chase Budinger,2009,2.5,79.0,218,44,38.5,2,1,"{u'great': 10, u'good': 25, u'offensive': 11}"
371,Nick Calathes,2009,1.5,77.0,185,45,,1,1,"{u'quick': 9, u'great': 14, u'good': 15}"
372,Danny Green,2009,2.5,78.0,210,46,33.0,2,0,"{u'good': 15, u'open': 7, u'nice': 9}"
373,Henk Norel,2009,4.0,83.0,212,47,27.0,0,2,"{u'big': 9, u'physical': 9, u'nice': 15}"
374,Sergey Gladyr,2009,2.0,77.0,190,49,32.0,2,1,"{u'perfect': 1, u'best': 2, u'ukrainian': 2}"
375,Goran Suton,2009,4.5,82.0,245,50,,2,0,"{u'small': 2, u'good': 1, u'impressive': 1}"
376,Jack McClinton,2009,1.5,73.0,185,51,36.5,2,1,"{u'big': 7, u'good': 8, u'best': 4}"
377,A.J. Price,2009,1.0,74.0,190,52,31.0,1,1,"{u'solid': 8, u'bad': 6, u'good': 7}"
378,Robert Vaden,2009,2.5,77.0,200,54,,2,1,"{u'questionable': 3, u'good': 7, u'best': 3}"
379,Patrick Mills,2009,1.0,72.0,175,55,33.0,1,1,"{u'big': 6, u'good': 14, u'excellent': 7}"
380,Ahmad Nivins,2009,4.0,81.0,235,56,,0,0,"{u'decent': 4, u'good': 11, u'excellent': 4}"
381,Emir Preldzic,2009,3.0,81.0,220,57,,2,2,"{u'small': 8, u'great': 9, u'good': 6}"
382,Lester Hudson,2009,1.5,75.0,190,58,36.0,2,1,"{u'good': 7, u'hard': 5, u'excellent': 5}"
383,Robert Dozier,2009,4.0,82.0,205,60,,0,0,"{u'big': 8, u'consistent': 8, u'good': 13}"
384,Derrick Rose,2008,1.0,75.0,190,1,40.0,1,1,"{u'little': 12, u'good': 16, u'open': 11}"
385,Michael Beasley,2008,4.0,81.0,235,2,35.0,0,1,"{u'great': 12, u'good': 15, u'offensive': 13}"
386,O.J. Mayo,2008,1.5,77.0,195,3,41.0,1,1,"{u'great': 40, u'good': 19, u'best': 18}"
387,Russell Westbrook,2008,1.5,75.0,187,4,36.5,1,1,"{u'clear': 4, u'good': 5, u'open': 5}"
388,Kevin Love,2008,4.0,81.0,255,5,35.0,0,2,"{u'athletic': 20, u'big': 27, u'good': 23}"
389,Danilo Gallinari,2008,3.0,81.0,209,6,,2,2,"{u'excellent': 7, u'good': 8, u'italian': 8}"
390,Eric Gordon,2008,2.0,75.0,215,7,40.0,1,1,"{u'big': 10, u'great': 9, u'strong': 9}"
391,Joe Alexander,2008,4.0,80.0,230,8,38.5,0,0,"{u'great': 13, u'good': 7, u'nice': 9}"
392,D.J. Augustin,2008,1.0,71.0,175,9,35.0,1,1,"{u'big': 5, u'great': 7, u'good': 15}"
393,Brook Lopez,2008,5.0,84.0,260,10,30.5,0,2,"{u'big': 15, u'good': 16, u'low': 10}"
394,Jerryd Bayless,2008,1.5,75.0,199,11,38.0,1,1,"{u'good': 10, u'impressive': 9, u'strong': 7}"
395,Jason Thompson,2008,5.0,83.0,250,12,,0,0,"{u'big': 10, u'good': 12, u'nice': 11}"
396,Brandon Rush,2008,2.5,79.0,211,13,35.0,0,1,"{u'great': 15, u'good': 25, u'strong': 12}"
397,Anthony Randolph,2008,3.5,83.0,220,14,,0,2,"{u'great': 6, u'good': 6, u'able': 12}"
