,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
577,Wayne Simien,2005,4.0,81.0,255,29,27.5,0,2,"{u'big': 4, u'low': 2, u'physical': 3}"
578,David Lee,2005,4.0,81.0,249,30,32.5,0,0,"{u'big': 5, u'great': 9, u'good': 5}"
579,Salim Stoudamire,2005,2.0,73.0,180,31,,1,1,"{u'able': 4, u'defensive': 5, u'best': 8}"
580,Daniel Ewing,2005,1.5,75.0,185,32,,2,1,"{u'solid': 6, u'past': 5, u'good': 12}"
581,Brandon Bass,2005,4.0,80.0,240,33,33.0,0,0,"{u'better': 5, u'big': 8, u'good': 10}"
582,C.J. Miles,2005,2.5,78.0,210,34,,2,0,"{u'decent': 4, u'natural': 4, u'nice': 12}"
583,Ricky Sanchez,2005,3.5,83.0,220,35,,2,2,"{u'heavy': 1, u'old': 2, u'nice': 2}"
584,Ersan Ilyasova,2005,4.0,81.0,235,36,30.0,0,2,"{u'big': 11, u'good': 10, u'european': 10}"
585,Ronny Turiaf,2005,4.5,82.0,250,37,33.0,2,2,"{u'offensive': 3, u'good': 5, u'tough': 3}"
586,Travis Diener,2005,1.0,73.0,180,38,31.0,1,1,"{u'great': 5, u'good': 4, u'physical': 4}"
587,Von Wafer,2005,2.0,77.0,250,39,,2,0,"{u'fantastic': 3, u'offensive': 3, u'nice': 4}"
588,Monta Ellis,2005,1.5,75.0,179,40,31.5,1,1,"{u'poor': 5, u'good': 12, u'excellent': 6}"
589,Chris Taft,2005,4.5,6-10,260,42,33.0,0,2,"{u'athletic': 3, u'decent': 3, u'offensive': 2}"
590,Mile Ilic,2005,5.0,85.0,235,43,,0,2,"{u'great': 8, u'good': 9, u'long': 4}"
591,Louis Williams,2005,1.5,74.0,175,45,,1,1,"{u'poor': 4, u'great': 5, u'strong': 5}"
592,Erazem Lorbek,2005,4.0,82.0,245,46,,2,2,"{u'athletic': 3, u'big': 5, u'good': 4}"
593,Bracey Wright,2005,2.0,75.0,210,47,36.0,2,1,"{u'good': 7, u'tough': 5, u'best': 4}"
594,Andray Blatche,2005,4.0,83.0,235,49,,2,0,"{u'right': 3, u'able': 3, u'nice': 4}"
595,Ryan Gomes,2005,3.5,79.0,250,50,30.5,0,0,"{u'great': 11, u'good': 5, u'offensive': 6}"
596,Robert Whaley,2005,4.0,81.0,230,51,33.5,2,2,"{u'intriguing': 1, u'good': 1, u'wise': 1}"
597,Axel Hervelle,2005,4.0,80.0,235,52,,0,2,"{u'good': 12, u'offensive': 14, u'nice': 8}"
598,Orien Greene,2005,1.0,76.0,210,53,,2,1,"{u'major': 6, u'good': 13, u'best': 7}"
599,Dijon Thompson,2005,3.0,79.0,200,54,,2,1,"{u'raw': 3, u'outside': 3, u'defensive': 3}"
600,Lawrence Roberts,2005,4.5,81.0,245,55,33.0,2,2,"{u'big': 3, u'good': 3, u'outstanding': 3}"
601,Amir Johnson,2005,4.0,81.0,210,56,,0,2,"{u'big': 4, u'good': 5, u'able': 4}"
602,Marcin Gortat,2005,5.0,84.0,245,57,36.0,0,2,"{u'good': 10, u'offensive': 7, u'low': 6}"
603,Uros Slokar,2005,4.5,82.0,238,58,,0,2,"{u'decent': 4, u'hard': 3, u'nice': 4}"
